qd_number,true_fwhm_nm,true_height_nm,true_fwhm_A,true_height_A
1,10.241,1.444,102.41,14.44
2,10.114,1.203,101.14000000000001,12.030000000000001
3,9.925,1.271,99.25,12.709999999999999
4,10.178,1.591,101.78,15.91
5,9.482,1.375,94.82,13.75
6,10.051,2.243,100.51,22.43
7,9.229,1.435,92.28999999999999,14.350000000000001
8,10.683,2.093,106.83,20.93
9,11.821,1.815,118.21,18.15
10,10.3,1.022,103.0,10.22
11,10.494,1.36,104.94,13.600000000000001
12,11.252,2.665,112.52000000000001,26.65
13,10.304,2.435,103.04,24.35
14,10.873,2.663,108.72999999999999,26.63
15,10.747,2.011,107.47,20.11
16,11.252,2.02,112.52000000000001,20.2
17,11.379,1.604,113.78999999999999,16.04
18,11.568,1.146,115.67999999999999,11.459999999999999
19,10.241,2.276,102.41,22.759999999999998
20,10.62,2.993,106.19999999999999,29.93
21,13.465,2.088,134.65,20.880000000000003
22,10.999,1.375,109.99000000000001,13.75
23,7.901,0.962,79.00999999999999,9.62
24,8.325,1.316,83.25,13.16
25,9.609,1.343,96.09,13.43
26,9.735,1.048,97.35,10.48
27,11.315,1.584,113.14999999999999,15.84
28,8.092,1.711,80.92,17.11
29,10.557,3.096,105.57000000000001,30.96
30,11.884,2.21,118.84,22.1
31,10.367,1.588,103.67000000000002,15.88
32,10.557,1.809,105.57000000000001,18.09
33,9.925,1.172,99.25,11.719999999999999
34,11.126,2.094,111.25999999999999,20.939999999999998
35,10.051,1.144,100.51,11.44
36,10.999,1.857,109.99000000000001,18.57
37,9.103,1.291,91.03,12.91
38,10.683,1.393,106.83,13.93
39,9.491,0.826,94.91,8.26
40,11.252,1.92,112.52000000000001,19.2
41,11.126,1.274,111.25999999999999,12.74
42,7.786,0.969,77.86,9.69
43,7.993,0.802,79.93,8.02
44,6.954,1.035,69.53999999999999,10.35
45,9.448,2.173,94.48,21.73
46,10.747,1.013,107.47,10.129999999999999
47,10.178,1.662,101.78,16.619999999999997
48,10.114,1.645,101.14000000000001,16.45
49,8.778,1.061,87.78,10.61
50,9.862,1.802,98.62,18.02
51,10.999,1.078,109.99000000000001,10.780000000000001
52,9.735,1.266,97.35,12.66
53,10.178,1.331,101.78,13.309999999999999
54,8.408,1.095,84.08,10.95
55,13.275,1.43,132.75,14.299999999999999
56,12.453,1.461,124.53,14.610000000000001
57,7.372,0.865,73.72,8.65
58,9.07,0.935,90.7,9.350000000000001
59,9.672,2.421,96.72,24.209999999999997
60,10.62,2.771,106.19999999999999,27.71
61,8.913,1.322,89.13,13.22
62,9.735,1.562,97.35,15.620000000000001
63,8.879,1.595,88.78999999999999,15.95
64,11.063,1.968,110.63000000000001,19.68
65,10.178,1.783,101.78,17.83
66,6.638,0.851,66.38,8.51
67,9.798,1.578,97.98,15.780000000000001
68,8.076,0.897,80.76,8.97
69,12.959,1.085,129.59,10.85
70,13.37,3.549,133.7,35.49
71,13.781,4.205,137.81,42.05
72,12.638,4.548,126.38,45.480000000000004
73,14.5855,4.434,145.855,44.34
74,17.565,4.904,175.65,49.04
75,16.231,3.709,162.31,37.09
76,14.23,4.973,142.3,49.73
77,18.454,4.609,184.54000000000002,46.09
78,16.62,5.578,166.20000000000002,55.78
