qd_number,true_fwhm_nm,true_height_nm,true_fwhm_A,true_height_A
1,12.264,1.761,122.63999999999999,17.61
2,7.459,1.163,74.59,11.63
3,7.523,1.37,75.22999999999999,13.700000000000001
4,8.408,1.634,84.08,16.34
5,9.04,1.678,90.39999999999999,16.78
6,9.545,1.129,95.45,11.29
7,8.201,1.051,82.01,10.51
8,9.419,0.866,94.19,8.66
9,5.5,0.852,55.0,8.52
10,7.396,1.038,73.96,10.38
11,4.632,1.033,46.31999999999999,10.329999999999998
12,8.155,0.78,81.55,7.800000000000001
13,8.597,1.135,85.97,11.35
14,9.166,0.838,91.66,8.379999999999999
15,9.299,1.158,92.99,11.579999999999998
16,9.735,1.066,97.35,10.66
17,7.621,0.922,76.21000000000001,9.22
18,11.379,1.145,113.78999999999999,11.45
19,5.55,0.76,55.5,7.6
20,6.254,0.752,62.53999999999999,7.52
21,7.459,0.88,74.59,8.8
22,7.945,0.925,79.45,9.25
23,8.977,0.739,89.77000000000001,7.39
24,6.701,1.166,67.00999999999999,11.66
25,20.048,5.59,200.48,55.9
26,15.102,3.748,151.02,37.480000000000004
27,20.243,6.147,202.42999999999998,61.47
28,15.102,4.734,151.02,47.34
29,16.816,4.21,168.16,42.1
30,17.232,4.977,172.32,49.77
31,15.564,2.766,155.64,27.66
32,17.565,4.335,175.65,43.35
33,16.12,3.422,161.20000000000002,34.22
