cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
3.0,387.0,2.5231325220201604,21.0,1.0,-8.015280800188762e-11,-2.972406348833445e-10,2.170878268814569e-10,0.2170878268814569,2.170878268814569,2.5231325220201604,3.7846987830302403,24.0,false_positive
3.0,387.0,2.5231325220201604,21.0,1.0,-8.015280800188762e-11,-2.972406348833445e-10,2.170878268814569e-10,0.2170878268814569,2.170878268814569,2.5231325220201604,3.7846987830302403,24.0,false_positive
5.0,393.0,2.5231325220201604,21.0,1.0,3.0675426088144775e-10,-4.153722921174108e-10,7.221265529988585e-10,0.7221265529988585,7.221265529988585,2.5231325220201604,3.7846987830302403,24.0,false_positive
190.0,264.0,2.5231325220201604,21.0,1.0,-4.183654256362246e-10,-9.843419412902676e-10,5.659765156540431e-10,0.565976515654043,5.6597651565404306,2.5231325220201604,3.7846987830302403,24.0,false_positive
191.0,272.0,2.5231325220201604,21.0,1.0,-4.5641798673834444e-10,-9.991006910681222e-10,5.426827043297777e-10,0.5426827043297777,5.426827043297777,2.5231325220201604,3.7846987830302403,24.0,false_positive
70.0,454.0,1.692568750643269,9.0,1.6646373562696222,-7.680009961319456e-10,-1.614315014997203e-09,8.463140188652574e-10,0.8463140188652574,8.463140188652574,1.692568750643269,2.692568750643269,12.0,false_positive
303.0,21.0,2.5231325220201604,21.0,1.0,-4.773016010206632e-11,-2.1470892425101695e-10,1.6697876414895063e-10,0.16697876414895063,1.6697876414895063,2.5231325220201604,3.7846987830302403,24.0,false_positive
460.0,25.0,2.5231325220201604,21.0,1.0,2.707411239644131e-10,-2.0073804424258768e-10,4.714791682070008e-10,0.47147916820700075,4.7147916820700075,2.5231325220201604,3.7846987830302403,24.0,false_positive
236.0,443.0,2.5231325220201604,21.0,1.0,2.9225377673469666e-10,-2.2389300829983583e-10,5.161467850345325e-10,0.5161467850345325,5.161467850345325,2.5231325220201604,3.7846987830302403,24.0,false_positive
193.0,511.0,2.5231325220201604,13.0,1.0,5.390565216423227e-10,2.3872920307255185e-10,3.003273185697708e-10,0.3003273185697708,3.003273185697708,2.5231325220201604,3.7846987830302403,13.0,false_positive
193.0,511.0,2.5231325220201604,13.0,1.0,5.390565216423227e-10,2.3872920307255185e-10,3.003273185697708e-10,0.3003273185697708,3.003273185697708,2.5231325220201604,3.7846987830302403,13.0,false_positive
46.0,321.0,2.5231325220201604,21.0,1.0,7.067977314534346e-10,1.8240703392180535e-10,5.243906975316293e-10,0.5243906975316293,5.243906975316293,2.5231325220201604,3.7846987830302403,24.0,false_positive
504.0,366.0,2.5231325220201604,21.0,1.0,-9.239451426168444e-10,-1.1396708576860703e-09,2.15725715069226e-10,0.215725715069226,2.15725715069226,2.5231325220201604,3.7846987830302403,24.0,false_positive
