cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
185.0,166.0,2.763953195770684,21.0,1.0,-9.856658067519675e-08,-1.0000681882615936e-07,1.4402381509626139e-09,1.4402381509626139,14.402381509626139,2.763953195770684,4.145929793656026,36.0,false_negative
177.0,129.0,2.763953195770684,21.0,1.0,-9.867836325838653e-08,-1.0007692807789681e-07,1.398564819510284e-09,1.398564819510284,13.98564819510284,2.763953195770684,4.145929793656026,36.0,false_negative
131.0,117.0,2.763953195770684,21.0,1.0,-9.783624221881837e-08,-9.975491366276401e-08,1.918671443945641e-09,1.918671443945641,19.18671443945641,2.763953195770684,4.145929793656026,36.0,false_negative
142.0,81.0,2.763953195770684,21.0,1.0,-9.992572813644074e-08,-1.0102823111424186e-07,1.102502977801123e-09,1.102502977801123,11.02502977801123,2.763953195770684,4.145929793656026,36.0,false_negative
470.0,403.0,2.763953195770684,21.0,1.0,-9.910439757732092e-08,-1.0002511530160518e-07,9.20717724284259e-10,0.920717724284259,9.20717724284259,2.763953195770684,4.145929793656026,36.0,false_negative
193.0,489.0,2.763953195770684,21.0,1.0,-9.953276247642862e-08,-1.0046674603358952e-07,9.339835571609e-10,0.9339835571609001,9.339835571609001,2.763953195770684,4.145929793656026,36.0,false_negative
511.0,32.0,2.763953195770684,13.0,1.0,-1.0018216300977656e-07,-1.0119056170765361e-07,1.0083986978770554e-09,1.0083986978770554,10.083986978770554,2.763953195770684,4.145929793656026,20.0,false_negative
508.0,3.0,2.763953195770684,21.0,1.0,-9.95308369056147e-08,-1.0010643336499925e-07,5.75596459384542e-10,0.575596459384542,5.75596459384542,2.763953195770684,4.145929793656026,30.0,false_negative
24.0,54.0,2.763953195770684,21.0,1.0,-1.0023364183098238e-07,-1.0133438976822617e-07,1.1007479372437956e-09,1.1007479372437956,11.007479372437956,2.763953195770684,4.145929793656026,36.0,false_negative
64.0,97.0,2.763953195770684,21.0,1.0,-1.0156730922972201e-07,-1.0091114077681596e-07,-6.561684529060585e-10,-0.6561684529060585,-6.561684529060585,2.763953195770684,4.145929793656026,36.0,false_negative
151.0,358.0,2.763953195770684,21.0,1.0,-9.868762873566084e-08,-1.0030002783878444e-07,1.6123991031236073e-09,1.6123991031236073,16.123991031236073,2.763953195770684,4.145929793656026,36.0,false_negative
173.0,366.0,2.763953195770684,21.0,1.0,-9.877585682716017e-08,-1.0038256093025666e-07,1.6067041030964901e-09,1.6067041030964901,16.0670410309649,2.763953195770684,4.145929793656026,36.0,false_negative
182.0,375.0,2.763953195770684,21.0,1.0,-1.0079121182116069e-07,-1.0185273424667685e-07,1.0615224255161593e-09,1.0615224255161593,10.615224255161593,2.763953195770684,4.145929793656026,36.0,false_negative
184.0,356.0,2.763953195770684,21.0,1.0,-1.0184091792098116e-07,-1.0253489435285701e-07,6.939764318758535e-10,0.6939764318758535,6.9397643187585345,2.763953195770684,4.145929793656026,36.0,false_negative
206.0,354.0,2.763953195770684,21.0,1.0,-9.875913775658773e-08,-9.99532687728788e-08,1.1941310162910668e-09,1.1941310162910668,11.941310162910668,2.763953195770684,4.145929793656026,36.0,false_negative
397.0,227.0,2.763953195770684,21.0,1.0,-9.931056155210172e-08,-1.0026420227404742e-07,9.536407219457033e-10,0.9536407219457033,9.536407219457033,2.763953195770684,4.145929793656026,36.0,false_negative
346.0,483.0,2.763953195770684,21.0,1.0,-9.856398719421122e-08,-1.0029692987245653e-07,1.7329426782453083e-09,1.7329426782453083,17.329426782453083,2.763953195770684,4.145929793656026,36.0,false_negative
329.0,223.0,2.763953195770684,21.0,1.0,-9.87579369393643e-08,-1.0024249519346995e-07,1.4845582541056501e-09,1.4845582541056501,14.845582541056501,2.763953195770684,4.145929793656026,36.0,false_negative
409.0,109.0,2.763953195770684,21.0,1.0,-9.86961978810541e-08,-9.889529906104144e-08,1.9910117998733767e-10,0.19910117998733767,1.9910117998733767,2.763953195770684,4.145929793656026,36.0,false_negative
362.0,105.0,2.763953195770684,21.0,1.0,-9.790103661089233e-08,-9.895846631025051e-08,1.057429699358181e-09,1.057429699358181,10.574296993581811,2.763953195770684,4.145929793656026,36.0,false_negative
338.0,97.0,2.763953195770684,21.0,1.0,-9.798208822076049e-08,-9.915702747775867e-08,1.1749392569981865e-09,1.1749392569981865,11.749392569981865,2.763953195770684,4.145929793656026,36.0,false_negative
149.0,186.0,2.763953195770684,21.0,1.0,-9.714153748063836e-08,-1.0015124018991628e-07,3.009702709277917e-09,3.009702709277917,30.09702709277917,2.763953195770684,4.145929793656026,36.0,false_negative
150.0,179.0,2.763953195770684,21.0,1.0,-9.887953922316228e-08,-1.0012979956286472e-07,1.2502603397024359e-09,1.2502603397024359,12.502603397024359,2.763953195770684,4.145929793656026,36.0,false_negative
50.0,230.0,2.763953195770684,21.0,1.0,-9.972517744927245e-08,-1.0037476272373169e-07,6.495852744592412e-10,0.6495852744592412,6.495852744592412,2.763953195770684,4.145929793656026,36.0,false_negative
