cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
24.0,54.0,1.5957691216057308,8.0,1.714743204844845,-1.0023364183098238e-07,-1.01282417119819e-07,1.048775288836623e-09,1.048775288836623,10.48775288836623,1.5957691216057308,2.5957691216057306,12.0,false_positive
64.0,97.0,2.763953195770684,21.0,1.0,-1.0156730922972201e-07,-1.0091114077681596e-07,-6.561684529060585e-10,-0.6561684529060585,-6.561684529060585,2.763953195770684,4.145929793656026,36.0,false_positive
62.0,99.0,1.381976597885342,6.0,2.0943951023931953,-1.0063398292459169e-07,-1.0151957141601997e-07,8.855884914282797e-10,0.8855884914282797,8.855884914282797,1.381976597885342,2.381976597885342,16.0,false_positive
334.0,154.0,2.256758334191025,16.0,1.3414659073803088,-1.0109715731232427e-07,-1.0201544498045223e-07,9.182876681279595e-10,0.9182876681279595,9.182876681279595,2.256758334191025,3.385137501286538,16.0,false_positive
324.0,181.0,2.256758334191025,16.0,1.3414659073803088,-9.87707409194627e-08,-1.0009066642169273e-07,1.319925502230035e-09,1.319925502230035,13.199255022300349,2.256758334191025,3.385137501286538,16.0,false_positive
329.0,223.0,1.5957691216057308,8.0,1.714743204844845,-9.87579369393643e-08,-1.0001078010191122e-07,1.2528431625469238e-09,1.2528431625469238,12.528431625469238,1.5957691216057308,2.5957691216057306,12.0,false_positive
454.0,306.0,1.4927053303604616,7.0,1.8865422955842652,-1.0068598044199462e-07,-1.014944466248835e-07,8.084661828888784e-10,0.8084661828888784,8.084661828888784,1.4927053303604616,2.4927053303604616,12.0,false_positive
511.0,32.0,2.763953195770684,13.0,1.0,-1.0018216300977656e-07,-1.0119056170765361e-07,1.0083986978770554e-09,1.0083986978770554,10.083986978770554,2.763953195770684,4.145929793656026,20.0,false_positive
33.0,317.0,1.7841241161527712,10.0,1.5271898777066448,-1.012232928587764e-07,-1.0209519984982762e-07,8.719069910512189e-10,0.8719069910512189,8.71906991051219,1.7841241161527712,2.7841241161527712,12.0,false_positive
184.0,356.0,2.763953195770684,21.0,1.0,-1.0184091792098116e-07,-1.0253489435285701e-07,6.939764318758535e-10,0.6939764318758535,6.9397643187585345,2.763953195770684,4.145929793656026,36.0,false_positive
338.0,314.0,3.385137501286538,36.0,0.8323186781348105,-9.932949041058237e-08,-1.0055705246259095e-07,1.2275620520085795e-09,1.2275620520085795,12.275620520085795,3.385137501286538,5.077706251929807,44.0,false_positive
373.0,286.0,1.4927053303604616,7.0,1.8865422955842652,-1.0151082818765644e-07,-1.0230647973230589e-07,7.95651544649445e-10,0.795651544649445,7.95651544649445,1.4927053303604616,2.4927053303604616,12.0,false_positive
445.0,505.0,2.8209479177387813,25.0,1.190793892253364,-9.766804254240924e-08,-9.916031018519789e-08,1.4922676427886472e-09,1.4922676427886472,14.922676427886472,2.8209479177387813,4.231421876608172,36.0,false_positive
457.0,505.0,2.763953195770684,24.0,1.230303014972666,-9.77002585500486e-08,-9.933628319913623e-08,1.6360246490876307e-09,1.6360246490876307,16.360246490876307,2.763953195770684,4.145929793656026,36.0,false_positive
479.0,508.0,2.9316150714175193,27.0,1.2860574036336336,-9.775941833822799e-08,-9.911030218745509e-08,1.3508838492271025e-09,1.3508838492271025,13.508838492271025,2.9316150714175193,4.397422607126279,33.0,false_positive
362.0,107.0,2.7057581899030048,23.0,1.27247615308253,-9.717501825434738e-08,-9.888252705536615e-08,1.7075088010187756e-09,1.7075088010187756,17.075088010187756,2.7057581899030048,4.058637284854507,28.0,false_positive
371.0,97.0,2.4592453796829674,19.0,1.2801537005750372,-9.761956931697569e-08,-9.920772825466884e-08,1.5881589376931515e-09,1.5881589376931515,15.881589376931515,2.4592453796829674,3.6888680695244513,24.0,false_positive
404.0,117.0,2.985410660720923,28.0,1.2073870691739297,-9.667149925007834e-08,-9.884516671831989e-08,2.173667468241547e-09,2.173667468241547,21.73667468241547,2.985410660720923,4.478115991081385,44.0,false_positive
342.0,104.0,2.876813695875796,26.0,1.3328282662203883,-9.706549519705732e-08,-9.877083329001834e-08,1.7053380929610285e-09,1.7053380929610285,17.053380929610285,2.876813695875796,4.315220543813694,36.0,false_positive
338.0,96.0,2.5854414729132054,21.0,1.3009126076835016,-9.740477224795541e-08,-9.918201371306168e-08,1.7772414651062718e-09,1.7772414651062718,17.772414651062718,2.5854414729132054,3.8781622093698083,24.0,false_positive
388.0,32.0,5.670035141386943,101.0,0.5555124543848711,-9.985881632701421e-08,-1.0047119403111537e-07,6.123777041011635e-10,0.6123777041011635,6.1237770410116354,5.670035141386943,8.505052712080415,124.0,false_positive
152.0,179.0,1.692568750643269,9.0,1.7671458676442586,-9.819203228289552e-08,-9.986501225967004e-08,1.6729799767745135e-09,1.6729799767745135,16.729799767745135,1.692568750643269,2.692568750643269,12.0,false_positive
147.0,186.0,4.54864184146723,65.0,0.6088504550164501,-9.858787564098748e-08,-1.0047355658571178e-07,1.8856809447242995e-09,1.8856809447242995,18.856809447242995,4.54864184146723,6.822962762200845,76.0,false_positive
