cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
101.0,2.0,3.0382538898732494,29.0,1.1689103329366752,-9.902780107040599e-08,-1.0020328033988335e-07,1.1754792694773641e-09,1.1754792694773641,11.754792694773641,3.0382538898732494,4.557380834809874,29.0,automatic
153.0,3.0,3.1915382432114616,32.0,1.1768136879086513,-9.770460707159145e-08,-9.974007042501398e-08,2.0354633534225286e-09,2.0354633534225286,20.354633534225286,3.1915382432114616,4.787307364817193,27.0,automatic
446.0,2.0,2.111004122822376,14.0,1.500400304239239,-9.874048600977403e-08,-9.99666411871658e-08,1.2261551773917745e-09,1.2261551773917745,12.261551773917745,2.111004122822376,3.1665061842335644,21.0,automatic
190.0,4.0,2.763953195770684,24.0,1.3278012032165531,-9.859245864163313e-08,-1.0011482487470857e-07,1.522366233075445e-09,1.522366233075445,15.22366233075445,2.763953195770684,4.145929793656026,36.0,automatic
5.0,6.0,3.0901936161855166,30.0,1.1032628324143605,-9.806590384187075e-08,-1.0003143202652609e-07,1.9655281846553407e-09,1.9655281846553407,19.655281846553407,3.0901936161855166,4.635290424278275,40.0,automatic
312.0,5.0,2.256758334191025,16.0,1.2898320915163313,-9.894269226151664e-08,-1.0039460107691411e-07,1.4519088153974735e-09,1.4519088153974735,14.519088153974735,2.256758334191025,3.385137501286538,16.0,automatic
282.0,5.0,2.5231325220201604,20.0,1.347530211131618,-9.847848048138985e-08,-1.0009005535493998e-07,1.6115748735501256e-09,1.6115748735501256,16.115748735501256,2.5231325220201604,3.7846987830302403,24.0,automatic
493.0,7.0,2.393653682408596,18.0,1.3239153988972323,-9.889143370855891e-08,-1.0059610389134832e-07,1.704670182789414e-09,1.704670182789414,17.04670182789414,2.393653682408596,3.590480523612894,16.0,automatic
77.0,9.0,3.2410224072142872,33.0,1.111712424183585,-9.785174626131266e-08,-1.0019982354947388e-07,2.348077288161221e-09,2.348077288161221,23.48077288161221,3.2410224072142872,4.86153361082143,32.0,automatic
353.0,8.0,2.111004122822376,14.0,1.500400304239239,-9.944984213916541e-08,-1.0061640765002267e-07,1.1665655108572537e-09,1.1665655108572537,11.665655108572537,2.111004122822376,3.1665061842335644,24.0,automatic
479.0,9.0,2.9316150714175193,27.0,1.1642661024177179,-9.82444063879484e-08,-1.0053543064714177e-07,2.291024259193364e-09,2.291024259193364,22.91024259193364,2.9316150714175193,4.397422607126279,36.0,automatic
166.0,10.0,3.0901936161855166,30.0,1.2092175857965604,-9.79417649205061e-08,-9.964478309143487e-08,1.7030181709287717e-09,1.7030181709287717,17.030181709287717,3.0901936161855166,4.635290424278275,40.0,automatic
210.0,11.0,3.0382538898732494,29.0,1.0664874046672153,-9.809583900732832e-08,-1.0005417649949777e-07,1.9583374921694485e-09,1.9583374921694485,19.583374921694485,3.0382538898732494,4.557380834809874,40.0,automatic
400.0,10.0,1.7841241161527712,10.0,1.612290114395414,-1.0089205204621976e-07,-1.0196703925657857e-07,1.0749872103588132e-09,1.0749872103588132,10.749872103588132,1.7841241161527712,2.7841241161527712,12.0,automatic
441.0,12.0,3.0901936161855166,30.0,1.1766561392189778,-9.88617046004947e-08,-1.0042782960795194e-07,1.5661250074572308e-09,1.5661250074572308,15.661250074572308,3.0901936161855166,4.635290424278275,40.0,automatic
288.0,13.0,2.5854414729132054,21.0,1.1618260528144841,-9.881213713924808e-08,-9.987727267457558e-08,1.0651355353274994e-09,1.0651355353274994,10.651355353274994,2.5854414729132054,3.8781622093698083,24.0,automatic
34.0,15.0,2.7057581899030048,23.0,1.2324716784822323,-1.0078709777872064e-07,-1.0246922244050438e-07,1.682124661783746e-09,1.682124661783746,16.82124661783746,2.7057581899030048,4.058637284854507,28.0,automatic
334.0,15.0,3.141274657157109,31.0,1.140038260161506,-9.783368426496963e-08,-9.960227131955435e-08,1.7685870545847138e-09,1.7685870545847138,17.685870545847138,3.141274657157109,4.7119119857356635,40.0,automatic
