cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
250.0,196.0,2.8209479177387813,21.0,1.0,1.595023224609804e-09,6.34881092143047e-10,9.60142132466757e-10,0.960142132466757,9.60142132466757,2.8209479177387813,4.231421876608172,36.0,false_positive
232.0,312.0,4.61809077155419,67.0,0.5224969009790033,-2.1164742181056795e-10,-1.1892690165993258e-09,9.776215947887579e-10,0.9776215947887579,9.776215947887579,4.61809077155419,6.927136157331285,76.0,false_positive
510.0,506.0,2.8209479177387813,25.0,0.7666824818522707,-5.141805869968152e-10,-1.5101691563934594e-09,9.959885693966442e-10,0.9959885693966442,9.959885693966442,2.8209479177387813,4.231421876608172,24.0,false_positive
89.0,481.0,5.670035141386943,101.0,0.5314293479852088,2.2535803778644947e-10,-6.923128181846039e-10,9.176708559710534e-10,0.9176708559710534,9.176708559710534,5.670035141386943,8.505052712080415,124.0,false_positive
92.0,317.0,2.876813695875796,26.0,1.2924583435681247,2.0240835674201207e-09,5.074484998868201e-10,1.5166350675333007e-09,1.5166350675333007,15.166350675333007,2.876813695875796,4.315220543813694,36.0,false_positive
170.0,452.0,4.982787485166879,78.0,0.6374407476171859,2.567025036981363e-09,4.743811177210233e-10,2.0926439192603397e-09,2.0926439192603397,20.926439192603397,4.982787485166879,7.474181227750319,108.0,false_positive
165.0,403.0,2.7057581899030048,23.0,1.27247615308253,1.5781158602123924e-09,1.0929018107175281e-10,1.4688256791406396e-09,1.4688256791406396,14.688256791406396,2.7057581899030048,4.058637284854507,28.0,false_positive
170.0,452.0,2.8209479177387813,21.0,1.0,2.567025036981363e-09,7.712407934512555e-10,1.7957842435301075e-09,1.7957842435301075,17.957842435301075,2.8209479177387813,4.231421876608172,36.0,false_positive
171.0,454.0,2.8209479177387813,21.0,1.0,1.7085323156251775e-09,7.527297951614997e-10,9.558025204636778e-10,0.9558025204636778,9.558025204636778,2.8209479177387813,4.231421876608172,36.0,false_positive
248.0,44.0,2.8209479177387813,21.0,1.0,2.2198325122513296e-10,-5.189738638833319e-10,7.409571151084648e-10,0.7409571151084648,7.4095711510846485,2.8209479177387813,4.231421876608172,36.0,false_positive
250.0,44.0,1.7841241161527712,10.0,1.612290114395414,6.794505513774141e-10,-2.5145091564482414e-10,9.309014670222382e-10,0.9309014670222382,9.309014670222382,1.7841241161527712,2.7841241161527712,12.0,false_positive
260.0,39.0,2.8209479177387813,21.0,1.0,-3.25503013431927e-10,-4.922890151082271e-10,1.667860016763001e-10,0.1667860016763001,1.6678600167630009,2.8209479177387813,4.231421876608172,36.0,false_positive
258.0,39.0,2.8209479177387813,21.0,1.0,-9.986441534826085e-11,-4.868797032209216e-10,3.870152878726607e-10,0.3870152878726607,3.870152878726607,2.8209479177387813,4.231421876608172,36.0,false_positive
311.0,58.0,1.692568750643269,9.0,1.8288145488861383,-1.2944494365285664e-09,-1.925715198414224e-09,6.312657618856576e-10,0.6312657618856576,6.312657618856576,1.692568750643269,2.692568750643269,12.0,false_positive
308.0,93.0,1.7841241161527712,10.0,1.612290114395414,-1.4451804197790352e-09,-2.225289286172938e-09,7.801088663939026e-10,0.7801088663939026,7.8010886639390264,1.7841241161527712,2.7841241161527712,12.0,false_positive
380.0,163.0,2.0342144725641096,13.0,1.5571460217520925,-6.658568696416012e-10,-1.949543970702905e-09,1.2836871010613038e-09,1.2836871010613038,12.836871010613038,2.0342144725641096,3.0513217088461646,16.0,false_positive
391.0,171.0,3.1915382432114616,32.0,1.040714983675126,1.4561102323895625e-09,-1.1220767648367769e-09,2.5781869972263394e-09,2.5781869972263394,25.781869972263394,3.1915382432114616,4.787307364817193,32.0,false_positive
420.0,174.0,2.763953195770684,24.0,1.1097582375130814,1.1912766328947555e-09,3.789863561864948e-10,8.122902767082607e-10,0.8122902767082607,8.122902767082607,2.763953195770684,4.145929793656026,36.0,false_positive
492.0,95.0,1.381976597885342,6.0,1.9347481372744961,1.0851252119081778e-09,3.7639576178083445e-10,7.087294501273433e-10,0.7087294501273433,7.087294501273433,1.381976597885342,2.381976597885342,16.0,false_positive
418.0,29.0,1.7841241161527712,10.0,1.612290114395414,-1.2221689216218579e-09,-2.0073263051756385e-09,7.851573835537806e-10,0.7851573835537806,7.851573835537806,1.7841241161527712,2.7841241161527712,12.0,false_positive
73.0,443.0,2.8209479177387813,21.0,1.0,8.345988830593676e-12,-5.169618622069549e-10,5.253078510375486e-10,0.5253078510375486,5.253078510375486,2.8209479177387813,4.231421876608172,36.0,false_positive
344.0,496.0,1.2615662610100802,5.0,2.3173247538676778,-6.672121188877611e-10,-1.5841141731698372e-09,9.16902054282076e-10,0.916902054282076,9.16902054282076,1.2615662610100802,2.2615662610100804,16.0,false_positive
502.0,426.0,2.0342144725641096,13.0,1.5571460217520925,-6.274114006110665e-10,-2.0090527019789306e-09,1.3816413013678641e-09,1.3816413013678641,13.816413013678641,2.0342144725641096,3.0513217088461646,16.0,false_positive
458.0,205.0,2.326213245840639,17.0,1.1454006794618754,1.3580844226979139e-09,8.24008986044511e-11,1.2756835240934628e-09,1.2756835240934628,12.756835240934628,2.326213245840639,3.4893198687609583,16.0,false_positive
505.0,104.0,1.692568750643269,9.0,1.6646373562696222,3.9666034346019785e-10,-4.0609204887687156e-10,8.027523923370694e-10,0.8027523923370694,8.027523923370694,1.692568750643269,2.692568750643269,12.0,false_positive
