cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
138.0,1.0,2.5231325220201604,20.0,1.2389643882700014,2.141318011794624e-09,4.089343308422144e-10,1.7323836809524096e-09,1.7323836809524096,17.323836809524096,2.5231325220201604,3.7846987830302403,15.0,automatic
447.0,1.0,3.0901936161855166,30.0,1.0365281423822896,2.1725192755894795e-09,3.3879701821781794e-10,1.8337222573716616e-09,1.8337222573716616,18.337222573716616,3.0901936161855166,4.635290424278275,25.0,automatic
415.0,4.0,2.5231325220201604,20.0,1.106501002680461,1.6771037891771812e-09,9.496617728310675e-11,1.5821376118940744e-09,1.5821376118940744,15.821376118940744,2.5231325220201604,3.7846987830302403,24.0,automatic
322.0,8.0,1.5957691216057308,8.0,1.8288145488861385,1.123163673177885e-09,2.0938422870542261e-10,9.137794444724623e-10,0.9137794444724623,9.137794444724623,1.5957691216057308,2.5957691216057306,12.0,automatic
394.0,11.0,2.876813695875796,26.0,1.2384256479434992,2.8798075035751936e-10,-1.9592719668892755e-09,2.247252717246795e-09,2.247252717246795,22.47252717246795,2.876813695875796,4.315220543813694,36.0,automatic
67.0,12.0,3.523362819972964,39.0,1.1038279369855124,1.7483420267083716e-09,-2.3156127015866446e-10,1.979903296867036e-09,1.979903296867036,19.79903296867036,3.523362819972964,5.285044229959446,52.0,automatic
109.0,13.0,3.141274657157109,31.0,1.2158780105262765,1.8398587098289454e-09,2.0251839788487658e-10,1.6373403119440688e-09,1.6373403119440688,16.373403119440688,3.141274657157109,4.7119119857356635,40.0,automatic
9.0,17.0,3.9088200952233594,48.0,1.0560236756623294,2.789858788432298e-09,6.544949582298898e-10,2.135363830202408e-09,2.135363830202408,21.35363830202408,3.9088200952233594,5.8632301428350395,64.0,automatic
174.0,15.0,3.6125759969217834,41.0,1.0742998693442378,2.6833490984756736e-09,5.832439531339162e-10,2.1001051453417574e-09,2.1001051453417574,21.001051453417574,3.6125759969217834,5.418863995382675,52.0,automatic
269.0,15.0,3.523362819972964,39.0,1.1038279369855124,2.012644717552803e-09,1.5919036228106975e-10,1.853454355271733e-09,1.853454355271733,18.53454355271733,3.523362819972964,5.285044229959446,52.0,automatic
475.0,15.0,3.431831258788849,37.0,1.1741605384881055,2.28797047974183e-09,3.3533859022938373e-10,1.952631889512446e-09,1.9526318895124462,19.52631889512446,3.431831258788849,5.147746888183273,52.0,automatic
97.0,17.0,2.876813695875796,26.0,1.2022380906391716,1.6002982272667055e-09,-1.8451561806243078e-10,1.7848138453291362e-09,1.7848138453291362,17.848138453291362,2.876813695875796,4.315220543813694,36.0,automatic
212.0,18.0,3.141274657157109,31.0,1.1400382601615053,-6.109003858334461e-10,-2.0186645688369254e-09,1.4077641830034793e-09,1.4077641830034793,14.077641830034793,3.141274657157109,4.7119119857356635,40.0,automatic
324.0,18.0,3.1915382432114616,32.0,1.255099881833576,2.3925865733076535e-09,4.944618048341454e-10,1.898124768473508e-09,1.898124768473508,18.98124768473508,3.1915382432114616,4.787307364817193,32.0,automatic
494.0,17.0,2.7057581899030048,23.0,1.314460457011912,1.6023142812571223e-09,3.204228549158472e-10,1.281891426341275e-09,1.281891426341275,12.81891426341275,2.7057581899030048,4.058637284854507,28.0,automatic
81.0,24.0,3.3377905890622728,35.0,1.2092828327793383,2.0585484428181644e-09,-6.206368405314855e-11,2.120612126871313e-09,2.120612126871313,21.20612126871313,3.3377905890622728,5.006685883593409,44.0,automatic
125.0,23.0,2.5854414729132054,21.0,1.2576948637228438,-7.875751162345068e-10,-2.2961187395864613e-09,1.5085436233519545e-09,1.5085436233519545,15.085436233519545,2.5854414729132054,3.8781622093698083,24.0,automatic
248.0,25.0,2.876813695875796,26.0,1.2384256479434992,1.9797246064712226e-09,2.0826231017512242e-10,1.7714622962961002e-09,1.7714622962961002,17.714622962961002,2.876813695875796,4.315220543813694,36.0,automatic
438.0,26.0,3.5682482323055424,40.0,1.0480974335065731,1.79522485765915e-09,2.6670139707807294e-10,1.5285234605810771e-09,1.5285234605810771,15.285234605810771,3.5682482323055424,5.352372348458314,52.0,automatic
174.0,26.0,3.141274657157109,31.0,1.249524838656446,2.4212221116926003e-09,6.332314117507565e-10,1.7879906999418438e-09,1.7879906999418438,17.879906999418438,3.141274657157109,4.7119119857356635,40.0,automatic
447.0,27.0,2.5854414729132054,21.0,1.414906721688199,1.6280998771378563e-09,1.2957366429811046e-10,1.4985262128397459e-09,1.4985262128397459,14.985262128397459,2.5854414729132054,3.8781622093698083,24.0,automatic
29.0,32.0,3.523362819972964,39.0,1.2376286757036785,2.4618163063649945e-09,3.35590943922881e-10,2.1262253624421135e-09,2.1262253624421135,21.262253624421135,3.523362819972964,5.285044229959446,52.0,automatic
320.0,30.0,3.2410224072142872,33.0,1.1401809566205188,2.6392501517591427e-09,6.47621817284616e-10,1.9916283344745267e-09,1.9916283344745267,19.916283344745267,3.2410224072142872,4.86153361082143,32.0,automatic
111.0,32.0,2.876813695875796,26.0,1.1211451356615063,1.5602408254267175e-09,1.715756564601989e-10,1.3886651689665186e-09,1.3886651689665186,13.886651689665186,2.876813695875796,4.315220543813694,36.0,automatic
364.0,32.0,3.949327084834294,49.0,1.1568326904292365,3.5549503341059108e-09,4.5551355742912136e-10,3.0994367766767894e-09,3.0994367766767894,30.994367766767894,3.949327084834294,5.923990627251441,64.0,automatic
233.0,34.0,3.6125759969217834,41.0,1.0742998693442378,1.3750772742682216e-09,-1.7185618900183997e-10,1.5469334632700615e-09,1.5469334632700615,15.469334632700615,3.6125759969217834,5.418863995382675,52.0,automatic
497.0,33.0,2.111004122822376,14.0,1.4353535174681107,1.002637417535368e-09,-7.375565490384123e-12,1.0100129830257522e-09,1.0100129830257523,10.100129830257522,2.111004122822376,3.1665061842335644,24.0,automatic
147.0,38.0,3.141274657157109,31.0,1.2158780105262772,2.3550952299444816e-09,3.8156031112457356e-10,1.973534918819908e-09,1.973534918819908,19.73534918819908,3.141274657157109,4.7119119857356635,40.0,automatic
351.0,36.0,2.876813695875796,26.0,1.2022380906391712,1.7063062074385016e-09,5.209612428946908e-11,1.6542100831490325e-09,1.6542100831490325,16.542100831490323,2.876813695875796,4.315220543813694,36.0,automatic
402.0,39.0,3.2410224072142872,33.0,1.213589115655796,2.206721472219897e-09,1.8312271837794825e-10,2.0235987538419486e-09,2.0235987538419486,20.235987538419486,3.2410224072142872,4.86153361082143,32.0,automatic
305.0,40.0,2.876813695875796,26.0,1.3328282662203883,1.2876171240350232e-09,-1.724394516067207e-10,1.4600565756417438e-09,1.4600565756417438,14.600565756417438,2.876813695875796,4.315220543813694,36.0,automatic
483.0,41.0,3.2897623212397704,34.0,1.0789583326647456,1.8728976147741605e-09,1.973043395331331e-10,1.6755932752410274e-09,1.6755932752410274,16.755932752410274,3.2897623212397704,4.934643481859656,32.0,automatic
291.0,45.0,3.0901936161855166,30.0,1.2092175857965604,2.3940647242426394e-09,2.999017978400076e-10,2.094162926402632e-09,2.094162926402632,20.941629264026318,3.0901936161855166,4.635290424278275,40.0,automatic
365.0,54.0,3.5682482323055424,40.0,1.1321312174210385,3.0239921677832626e-09,5.251106771630987e-10,2.498881490620164e-09,2.498881490620164,24.98881490620164,3.5682482323055424,5.352372348458314,52.0,automatic
62.0,53.0,3.1915382432114616,32.0,1.1768136879086508,1.8277449553849578e-09,-4.7126604701963615e-11,1.8748715600869215e-09,1.8748715600869215,18.748715600869215,3.1915382432114616,4.787307364817193,32.0,automatic
165.0,54.0,3.523362819972964,39.0,1.1678595163140688,2.678076205242519e-09,4.887875104664374e-10,2.1892886947760815e-09,2.1892886947760815,21.892886947760815,3.523362819972964,5.285044229959446,52.0,automatic
477.0,55.0,3.6125759969217834,41.0,1.1604344978565644,1.9650847615793055e-09,7.879407543098793e-11,1.8862906861483175e-09,1.8862906861483175,18.862906861483175,3.6125759969217834,5.418863995382675,52.0,automatic
0.0,58.0,2.4592453796829674,19.0,1.0858586384011444,2.7282662795613533e-09,1.2188799969337083e-09,1.509386282627645e-09,1.509386282627645,15.09386282627645,2.4592453796829674,3.6888680695244513,13.0,automatic
271.0,57.0,3.742410318509555,44.0,1.1529071768572303,1.9206061185883527e-09,-1.5514364792856838e-10,2.075749766516921e-09,2.075749766516921,20.75749766516921,3.742410318509555,5.613615477764332,52.0,automatic
79.0,59.0,3.0901936161855166,30.0,1.293629002686353,1.6993307871970842e-09,-2.4428765954542797e-10,1.943618446742512e-09,1.9436184467425122,19.43618446742512,3.0901936161855166,4.635290424278275,40.0,automatic
191.0,60.0,3.742410318509555,44.0,1.1529071768572303,2.568020018856032e-09,6.821689393921027e-11,2.4998031249168218e-09,2.4998031249168218,24.998031249168218,3.742410318509555,5.613615477764332,52.0,automatic
456.0,63.0,3.3377905890622728,35.0,1.1106924012725323,2.427199774501787e-09,2.5376672985188975e-10,2.1734330446498973e-09,2.1734330446498973,21.734330446498973,3.3377905890622728,5.006685883593409,44.0,automatic
44.0,62.0,2.5854414729132054,21.0,1.414906721688199,1.561255125182015e-09,-3.542699662274773e-12,1.5647978248442898e-09,1.5647978248442898,15.647978248442898,2.5854414729132054,3.8781622093698083,24.0,automatic
341.0,65.0,3.2410224072142872,33.0,1.1401809566205192,2.5460531460907987e-09,6.95138835382636e-10,1.8509143107081627e-09,1.8509143107081627,18.509143107081627,3.2410224072142872,4.86153361082143,32.0,automatic
385.0,65.0,2.763953195770684,24.0,1.230303014972666,2.37260389113203e-09,6.171542721311596e-10,1.7554496190008706e-09,1.7554496190008706,17.554496190008706,2.763953195770684,4.145929793656026,36.0,automatic
294.0,67.0,2.5854414729132054,21.0,1.2576948637228433,-9.82513181924105e-10,-2.6922634122072964e-09,1.7097502302831913e-09,1.7097502302831913,17.097502302831913,2.5854414729132054,3.8781622093698083,24.0,automatic
497.0,70.0,2.876813695875796,26.0,1.1211451356615063,1.598972398930698e-09,4.514036713865188e-11,1.5538320317920462e-09,1.5538320317920462,15.538320317920462,2.876813695875796,4.315220543813694,36.0,automatic
248.0,71.0,3.5682482323055424,40.0,1.1065010026804607,2.6125321905823284e-09,2.976650870234465e-10,2.314867103558882e-09,2.314867103558882,23.14867103558882,3.5682482323055424,5.352372348458314,52.0,automatic
132.0,72.0,3.477898169151024,38.0,1.235849043114212,2.397678944277004e-09,3.380464241864445e-10,2.0596325200905596e-09,2.0596325200905596,20.596325200905596,3.477898169151024,5.216847253726536,52.0,automatic
436.0,72.0,3.0382538898732494,29.0,1.215703478563405,2.1312640541282235e-09,2.4496267514440007e-10,1.8863013789838234e-09,1.8863013789838234,18.863013789838234,3.0382538898732494,4.557380834809874,40.0,automatic
207.0,74.0,2.5854414729132054,21.0,1.1618260528144841,1.6138115288555355e-09,3.592579402370011e-11,1.5778857348318354e-09,1.5778857348318354,15.778857348318354,2.5854414729132054,3.8781622093698083,24.0,automatic
232.0,76.0,3.141274657157109,31.0,1.249524838656446,2.3841921770184626e-09,3.390192709895601e-10,2.0451729060289026e-09,2.0451729060289026,20.451729060289026,3.141274657157109,4.7119119857356635,40.0,automatic
412.0,76.0,3.8678889139475245,47.0,1.1433738600259475,2.7596809282215418e-09,5.167265781924613e-10,2.2429543500290805e-09,2.2429543500290805,22.429543500290805,3.8678889139475245,5.801833370921287,56.0,automatic
52.0,75.0,1.4927053303604616,7.0,1.8865422955842652,-1.1237464292435106e-09,-1.8423292891256438e-09,7.185828598821331e-10,0.7185828598821331,7.185828598821331,1.4927053303604616,2.4927053303604616,12.0,automatic
63.0,79.0,2.985410660720923,28.0,1.1737826689577704,1.6882594211509172e-09,1.0202778899515152e-10,1.5862316321557657e-09,1.5862316321557657,15.862316321557657,2.985410660720923,4.478115991081385,44.0,automatic
95.0,79.0,3.5682482323055424,40.0,1.132131217421039,2.1177468667588073e-09,4.0509958235124266e-11,2.077236908523683e-09,2.077236908523683,20.772369085236832,3.5682482323055424,5.352372348458314,52.0,automatic
