qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A
7,285.0,8.0,8.83096382707056,86.23988112373594,245.0,23365.020751953125,0.8151725968573986,5.622262211346651e-09,2.5619781296448707e-10,5.366064398382164e-09,5.366064398382164,53.66064398382164,8.83096382707056,13.24644574060584,86.23988112373594,129.3598216856039,245.0,automatic,15.909057655523547,13.966730796826882,14.937894226175214,155.36189116722215,136.3938554377625,145.87787330249233
6,291.0,125.0,9.772050238058398,95.43017810603904,300.0,28610.2294921875,0.816705809180943,5.725818486013168e-09,3.3041760993945957e-10,5.395400876073708e-09,5.395400876073708,53.95400876073708,9.772050238058398,14.658075357087597,95.43017810603904,143.14526715905856,380.0,automatic,17.029739567399556,13.194699913268042,15.1122197403338,166.30605046288628,128.85449134050822,147.58027090169725
5,213.0,185.0,7.735777827895049,75.54470535053758,188.0,17929.0771484375,0.7393621125826094,4.9848494221294e-09,5.125352087187451e-10,4.472314213410655e-09,4.472314213410655,44.72314213410655,7.735777827895049,11.603666741842574,75.54470535053758,113.31705802580639,236.0,automatic,12.365850015298477,11.137325179318534,11.751587597308506,120.76025405564918,108.76294120428255,114.76159762996588
8,379.0,285.0,9.949591680222808,97.16398125217586,311.0,29659.271240234375,0.7781166001246154,5.619360532449491e-09,2.1556431639702112e-10,5.40379621605247e-09,5.40379621605247,54.0379621605247,9.949591680222808,14.92438752033421,97.16398125217586,145.7459718782638,392.0,automatic,16.098922844194973,15.104597014704009,15.601759929449491,157.21604340034153,147.50583022171884,152.3609368110302
9,287.0,299.0,8.556358677747903,83.55819021238187,230.0,21934.50927734375,0.788933987949139,3.3348315220393943e-09,1.4963191102834728e-10,3.185199611011047e-09,3.185199611011047,31.85199611011047,8.556358677747903,12.834538016621856,83.55819021238187,125.33728531857281,284.0,automatic,13.415368064425266,12.635869383642532,13.0256187240339,131.009453754153,123.39716194963411,127.20330785189354
10,168.0,460.0,8.866935315394846,86.59116518940279,247.0,23555.755615234375,0.7632733110451972,4.1568188891005775e-09,2.5846205731205885e-10,3.898356831788519e-09,3.8983568317885187,38.98356831788519,8.866935315394846,13.300402973092268,86.59116518940279,129.8867477841042,312.0,automatic,17.264751104611214,10.199533165992065,13.73214213530164,168.60108500596888,99.60481607414125,134.10295054005508
2,41.0,87.0,8.848949571232703,86.41552315656936,241.0,22983.551025390625,1.0,2.687575051396607e-09,3.7437121458427924e-10,2.3132038368123276e-09,2.3132038368123276,23.132038368123276,,,86.41552315656936,129.62328473485405,,false_negative,10.816440473227573,12.418474947511424,11.617457710369498,105.62930149636301,121.27416940929125,113.45173545282714
3,109.0,115.0,8.848949571232703,86.41552315656936,241.0,22983.551025390625,1.0,1.4534634606988561e-09,3.477724358491585e-10,1.1056910248496976e-09,1.1056910248496976,11.056910248496976,,,86.41552315656936,129.62328473485405,,false_negative,9.305917420203748,15.427130659281119,12.366524039742433,90.87809980667723,150.65557284454218,120.7668363256097
4,181.0,47.0,8.848949571232703,86.41552315656936,241.0,22983.551025390625,1.0,3.168602713543578e-09,4.997322833322215e-10,2.6688704302113564e-09,2.6688704302113564,26.688704302113564,,,86.41552315656936,129.62328473485405,,false_negative,12.980718122175176,12.66751100402,12.824114563097588,126.76482541186695,123.70616214863281,125.23549378024988
1,125.0,385.0,8.848949571232703,86.41552315656936,241.0,22983.551025390625,1.0,1.3378868013447232e-09,1.4713297247226365e-10,1.1907538288724595e-09,1.1907538288724595,11.907538288724595,,,86.41552315656936,129.62328473485405,,false_negative,7.462211321288393,7.099050278838273,7.280630800063333,72.87315743445697,69.32666287928001,71.09991015686849
