cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
375.0,0.0,2.5854414729132054,21.0,1.081418218471583,1.811190863953982e-09,1.0599696675939185e-09,7.512211963600635e-10,0.7512211963600635,7.512211963600635,2.5854414729132054,3.8781622093698083,13.0,automatic
48.0,5.0,3.385137501286538,36.0,1.1040227738672699,-5.00506414091717e-10,-1.463484611274879e-09,9.62978197183162e-10,0.9629781971831619,9.629781971831619,3.385137501286538,5.077706251929807,44.0,automatic
245.0,15.0,4.720348719413148,70.0,1.0658583117993148,2.127578557775678e-09,6.402215702028258e-10,1.487356987572852e-09,1.487356987572852,14.87356987572852,4.720348719413148,7.080523079119722,92.0,automatic
494.0,12.0,3.8678889139475245,47.0,0.9217139757215324,1.1530958410332914e-09,-6.995125312325712e-11,1.2230470941565486e-09,1.2230470941565486,12.230470941565486,3.8678889139475245,5.801833370921287,56.0,automatic
151.0,21.0,3.431831258788849,37.0,1.1346900731413607,-1.1734684057795874e-10,-9.278723067662753e-10,8.105254661883166e-10,0.8105254661883166,8.105254661883166,3.431831258788849,5.147746888183273,52.0,automatic
477.0,24.0,2.7057581899030048,23.0,1.314460457011912,-9.625332753060434e-10,-1.789170811505869e-09,8.266375361998257e-10,0.8266375361998257,8.266375361998257,2.7057581899030048,4.058637284854507,28.0,automatic
47.0,26.0,4.1073621666150775,53.0,1.0393795896434304,-2.702944812416064e-10,-1.5118897800370235e-09,1.241595298795417e-09,1.241595298795417,12.41595298795417,4.1073621666150775,6.161043249922616,72.0,automatic
427.0,30.0,3.9088200952233594,48.0,1.1097582375130812,1.334250154805261e-09,2.0812965240146752e-10,1.1261205024037935e-09,1.1261205024037935,11.261205024037935,3.9088200952233594,5.8632301428350395,64.0,automatic
371.0,38.0,4.1841419359420025,55.0,1.0582174692140012,1.995399845355905e-09,7.384091393891623e-10,1.2569907059667429e-09,1.256990705966743,12.569907059667429,4.1841419359420025,6.276212903913004,64.0,automatic
106.0,41.0,4.886025119029199,75.0,0.9825913439124128,3.138107995681594e-09,7.84907944195723e-10,2.353200051485871e-09,2.353200051485871,23.53200051485871,4.886025119029199,7.3290376785437985,108.0,automatic
253.0,41.0,2.5231325220201604,20.0,1.0252525124772216,1.5759031857243144e-09,6.394106355500639e-10,9.364925501742505e-10,0.9364925501742505,9.364925501742505,2.5231325220201604,3.7846987830302403,24.0,automatic
317.0,41.0,3.6996385101659595,43.0,1.126704741019566,1.6964366578164913e-09,1.9898512698679482e-10,1.4974515308296965e-09,1.4974515308296965,14.974515308296965,3.6996385101659595,5.549457765248939,52.0,automatic
286.0,51.0,4.406461512053774,61.0,0.9678890925374923,1.7646843986085514e-09,4.849475127022274e-10,1.279736885906324e-09,1.279736885906324,12.79736885906324,4.406461512053774,6.609692268080661,76.0,automatic
229.0,68.0,3.3377905890622728,35.0,1.0480790531023698,1.8222668929368524e-09,7.155744885523063e-10,1.106692404384546e-09,1.106692404384546,11.06692404384546,3.3377905890622728,5.006685883593409,44.0,automatic
349.0,68.0,5.170882945826411,84.0,0.9710384578239463,2.3588893061088356e-09,3.6353973997815814e-10,1.9953495661306775e-09,1.9953495661306775,19.953495661306775,5.170882945826411,7.7563244187396165,96.0,automatic
467.0,70.0,3.0901936161855166,30.0,1.1328064426066646,1.237442925905441e-09,1.9679104179548546e-10,1.0406518841099555e-09,1.0406518841099555,10.406518841099555,3.0901936161855166,4.635290424278275,40.0,automatic
157.0,70.0,3.5682482323055424,40.0,1.1065010026804611,-3.529953551684173e-10,-1.889802536680918e-09,1.5368071815125006e-09,1.5368071815125006,15.368071815125006,3.5682482323055424,5.352372348458314,52.0,automatic
257.0,76.0,4.478115991081385,63.0,1.0170861275069325,1.9918444671418456e-09,5.191552188144044e-10,1.4726892483274412e-09,1.4726892483274412,14.726892483274412,4.478115991081385,6.717173986622077,76.0,automatic
441.0,80.0,4.1073621666150775,53.0,0.9745488352993515,-2.915280794546504e-10,-1.791132853146138e-09,1.4996047736914875e-09,1.4996047736914875,14.996047736914875,4.1073621666150775,6.161043249922616,72.0,automatic
190.0,89.0,3.431831258788849,37.0,0.9694901259935803,-1.9888095337261547e-10,-1.3282943078785081e-09,1.1294133545058926e-09,1.1294133545058926,11.294133545058926,3.431831258788849,5.147746888183273,52.0,automatic
86.0,93.0,4.918490759365935,76.0,0.9956925618312447,1.9445203225387786e-09,1.811986116706521e-10,1.7633217108681265e-09,1.7633217108681265,17.633217108681265,4.918490759365935,7.377736139048903,108.0,automatic
10.0,91.0,3.141274657157109,31.0,1.1400382601615053,1.3637871942862034e-09,5.502048538996718e-10,8.135823403865317e-10,0.8135823403865317,8.135823403865317,3.141274657157109,4.7119119857356635,40.0,automatic
510.0,94.0,2.256758334191025,16.0,1.304642199853956,1.0936768157776555e-09,4.04996008951386e-10,6.886808068262695e-10,0.6886808068262695,6.886808068262695,2.256758334191025,3.385137501286538,11.0,automatic
283.0,99.0,3.6996385101659595,43.0,1.068763630258257,1.319541920175027e-09,2.315263675223278e-10,1.0880155526526991e-09,1.0880155526526991,10.880155526526991,3.6996385101659595,5.549457765248939,52.0,automatic
33.0,107.0,3.3377905890622728,35.0,0.9170852543182518,1.146564954090934e-09,3.8636285837334583e-10,7.602020957175881e-10,0.7602020957175881,7.602020957175881,3.3377905890622728,5.006685883593409,44.0,automatic
135.0,105.0,3.656366395715726,42.0,1.043908662112716,1.6995083118587218e-09,-1.3521200825650226e-10,1.834720320115224e-09,1.834720320115224,18.34720320115224,3.656366395715726,5.48454959357359,52.0,automatic
402.0,108.0,3.656366395715726,42.0,1.0217383430019105,-3.8059291829206643e-10,-1.4078859744692807e-09,1.0272930561772142e-09,1.0272930561772142,10.272930561772142,3.656366395715726,5.48454959357359,52.0,automatic
315.0,108.0,4.3336224206596095,59.0,0.9763791953766093,1.9173895804414087e-09,3.5929990926941713e-10,1.5580896711719916e-09,1.5580896711719916,15.580896711719916,4.3336224206596095,6.500433630989415,76.0,automatic
