cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
3.0,71.0,3.6125759969217834,45.0,1.0,6.714042655175945e-10,3.383691243863396e-10,3.330351411312549e-10,0.3330351411312549,3.3303514113125487,3.6125759969217834,5.418863995382675,40.0,false_positive
3.0,75.0,3.6125759969217834,45.0,1.0,8.332731726845566e-10,3.8543253311207337e-10,4.478406395724832e-10,0.4478406395724832,4.478406395724832,3.6125759969217834,5.418863995382675,40.0,false_positive
74.0,88.0,3.6125759969217834,45.0,1.0,4.616983739769154e-10,1.0762618921078548e-10,3.540721847661299e-10,0.3540721847661299,3.540721847661299,3.6125759969217834,5.418863995382675,52.0,false_positive
497.0,268.0,3.6125759969217834,45.0,1.0,2.907556695408431e-10,-1.0484266232957395e-10,3.9559833187041704e-10,0.39559833187041704,3.9559833187041704,3.6125759969217834,5.418863995382675,52.0,false_positive
494.0,396.0,3.6125759969217834,45.0,1.0,1.924445602874414e-10,-2.1793294946448327e-10,4.1037750975192466e-10,0.41037750975192466,4.103775097519247,3.6125759969217834,5.418863995382675,52.0,false_positive
477.0,488.0,3.6125759969217834,45.0,1.0,4.545217813234359e-10,4.0593521599685545e-11,4.1392825972375036e-10,0.41392825972375036,4.139282597237504,3.6125759969217834,5.418863995382675,52.0,false_positive
441.0,505.0,3.6125759969217834,45.0,1.0,4.5411641114156964e-10,3.2272633350427515e-11,4.2184377779114213e-10,0.4218437777911421,4.218437777911421,3.6125759969217834,5.418863995382675,52.0,false_positive
0.0,465.0,3.6125759969217834,26.0,1.0,9.691546454249078e-10,3.7254840878908624e-10,5.966062366358216e-10,0.5966062366358216,5.966062366358216,3.6125759969217834,5.418863995382675,28.0,false_positive
25.0,341.0,3.6125759969217834,45.0,1.0,5.745048881067305e-10,2.0640741893451775e-10,3.6809746917221275e-10,0.36809746917221275,3.6809746917221275,3.6125759969217834,5.418863995382675,52.0,false_positive
1.0,312.0,3.6125759969217834,33.0,1.0,9.52329548553621e-10,2.72360592412646e-10,6.79968956140975e-10,0.679968956140975,6.79968956140975,3.6125759969217834,5.418863995382675,32.0,false_positive
1.0,220.0,3.6125759969217834,33.0,1.0,1.121370107881603e-09,4.643708056972784e-10,6.569993021843246e-10,0.6569993021843246,6.569993021843246,3.6125759969217834,5.418863995382675,32.0,false_positive
201.0,93.0,3.6125759969217834,45.0,1.0,5.057367857830286e-10,2.3018359787685405e-11,4.827184259953432e-10,0.4827184259953432,4.827184259953432,3.6125759969217834,5.418863995382675,52.0,false_positive
268.0,273.0,3.6125759969217834,45.0,1.0,3.47908951647824e-10,2.3286779449183115e-10,1.1504115715599283e-10,0.11504115715599283,1.1504115715599283,3.6125759969217834,5.418863995382675,52.0,false_positive
300.0,385.0,3.6125759969217834,45.0,1.0,5.516458401189084e-10,1.8016408503962467e-10,3.714817550792837e-10,0.3714817550792837,3.714817550792837,3.6125759969217834,5.418863995382675,52.0,false_positive
330.0,389.0,3.6125759969217834,45.0,1.0,4.5510153978689516e-10,1.5933371982912448e-10,2.957678199577707e-10,0.2957678199577707,2.957678199577707,3.6125759969217834,5.418863995382675,52.0,false_positive
455.0,446.0,3.6125759969217834,45.0,1.0,4.771459893859742e-10,2.8302003102220752e-11,4.4884398628375344e-10,0.44884398628375344,4.488439862837534,3.6125759969217834,5.418863995382675,52.0,false_positive
